EMP_ID,ANNUAL_RATE,HRLY_RATE,JOBCODE,ETHNICITY,SEX,MARITAL_STATUS,JOB_SATISFACTION,AGE,NUMBER_OF_TEAM_CHANGED,REFERRAL_SOURCE,HIRE_MONTH,REHIRE,TERMINATION_YEAR,IS_FIRST_JOB,TRAVELLED_REQUIRED,PERFORMANCE_RATING,DISABLED_EMP,DISABLED_VET,EDUCATION_LEVEL,STATUS,JOB_GROUP,PREVYR_1,PREVYR_2,PREVYR_3,PREVYR_4,PREVYR_5
3285941608,33615,22,71850,BLACK,F,Divorced,4,35,3+,Client Referral,June,FALSE,2008,N,N,4,N,N,LEVEL 2,T,Plant & Facilities Maintenance,0,0,0,0,0
3687079832,70675,40,59806,ASIAN,M,Single,3,18,3+,Executive Referral,June,FALSE,,Y,N,3,N,N,LEVEL 1,A,Customer Care,3,3,3,2,3
7209970080,34320,23,60311,WHITE,F,Single,5,18,2,Former Employee/Intern,February,FALSE,,Y,N,3,N,N,LEVEL 1,A,Customer Care,3,3,3,2,3
9084013977,103199,59,16233,ASIAN,F,Single,2,50,0,Direct Sourcing,October,TRUE,2005,N,Y,2,N,N,LEVEL 1,T,Finance,0,0,0,0,0
4566148978,141801,71,64415,ASIAN,F,Single,4,34,3,Inroads,May,FALSE,,N,N,4,N,N,LEVEL 1,A,Marketing - Direct,2,2,2,2,2
8895282892,31615,22,89305,WHITE,F,Single,4,31,3,Unknown,March,FALSE,,N,N,5,N,N,LEVEL 1,A,Physical Flows,3,3,3,3,3
3581979012,91425,52,38639,WHITE,M,Single,3,39,3+,,April,FALSE,,N,N,3,Y,N,LEVEL 3,A,Marketing - Direct,2,2,2,2,3
4382202170,189200,97,20880,ASIAN,F,Married,4,21,3,Job Fair,August,FALSE,,N,N,5,N,N,LEVEL 1,A,Finance,4,3,3,4,3
2180798331,144069,73,27455,WHITE,M,Single,2,44,1,Print Advertisement,July,FALSE,,N,N,2,N,N,LEVEL 4,A,Tax,3,3,3,3,3
7830342455,205811,105,25302,WHITE,F,Married,2,62,1,,March,FALSE,,N,N,3,N,N,LEVEL 3,A,General Administration,2,2,2,2,2
